,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Last Name,Author First Name,Other Authors,Newspaper/Publisher,Publication Year,Article Title,"Publication Location (City, County, State) Where was the article published? ","Contextual Location (City, County, State) Where is the article talking about? If mutliple locations are referenced, list them all. If national, write national","News Source (e.g. Google, Ethnic News Watch, etc)",Date of Publication,"Page # (if applicable, if not, write N/A)",Type,Link (paste to Google drive upload),MMIWG mentioned (1=y 0=n),"MMIWG defined (1,0)","specific case (1,0)","MMIWG mvmnt (1,0)","coverage of legal protection (1,0)","News article (1,0)","video/audio (1,0)","material culture (1,0)","international (1,0)","national (1,0)","regional (1,0)","local (1,0)","Native (1,0)",# of sources,# of govt officials,# of ordinary people,# of experts,# of id male,# of id female,# of gender unID,"(Native voice) token/soundbite (1,0)","centers importance of MMIWG (1,0)","discussion of law impact (1,0)",word count,"article series (1,0)"
Aney,Kathy,,East Oregonian,2019,Our stolen sisters - Native women have a murder rate 10 times higher than the national average,"Pendleton, OR","Confederated Tribes of Umatilla Indian Reservation, OR; Pendleton, OR; Washington; Oregon; Spirit Lak Nation, ND",Access World News,"May 7th, 2019",N/A,Newspaper,https://drive.google.com/file/d/1yW0nvlZLA8Q0BXC3Xkl_B2H3xpcZf2Ck/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Aney,Kathy,,East Oregonian,2019,"Strong, resilient, Indigenous - Female MMA fighter finds healing in the cage","Pendleton, OR","Confederated Tribes of Umatilla Indian Reservation, OR; Pendleton, OR; Walla Walla, WA; Portland, OR",Access World News,"April 277th, 2019",N/A,Newspaper,https://drive.google.com/file/d/1HlFZTvKtbga69h_WmjJuMidt68EcczEr/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
,,,East Oregonian,2018,Shooting leads to community building,"Pendleton, OR","Confederated Tribes of Umatilla Indian Reservation, OR; Umatill Reservation, OR; Idaho; Seattle, WA; Alberta, CAN",Access World News,"July 10th, 2018",N/A,Newspaper,https://drive.google.com/file/d/1Q0qwUUrU52IjQFRBa48AEAT8BT7zXFVd/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
,,,East Oregonian,2017,HERMISTON - Sisters act in award-winning 48 hour film project,"Pendleton, OR","Hermiston, OR; Portland, OR; South Dakota; Paris, France",Access World News,"August 1st, 2017",N/A,Newspaper,https://drive.google.com/file/d/108HZd3s-4aHSL0zo7gW-JncLELH87RNG/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
,,,East Oregonian,2016,CTUIR memenbers stand with Standing Rock,"Pendleton, OR","Confederated Tribes of Umatilla Indian Reservation, OR; Cannon Ball, ND; Portland, OR; Illonois; Canada",Access World News,"October 31st, 2016",N/A,Newspaper,https://drive.google.com/file/d/1giNpso7AzGKu0_xjDG2bCQ0FuTxKjcDV/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
LaMora,Nick,,Forest Grove News Times,2025,Second Pacific University Powwow to honor missing and murdered Indigenous people,"Forest Grove, OR","Beaverton, OR; Forest Grove, OR; Hillsboro, OR; Oregon",Access World News,"April 30th, 2025",N/A,Newspaper,https://drive.google.com/file/d/1OOvYAD72Yu3eSBwTySFyauBjdehnKUjg/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Henshaw,Melanie,,Herald and News,2024,"Missing the mark - Disappearances of Native American women in Oregon remain an 'emergency', report finds","Klamath Falls, OR","Washington; Oregon; Salem, OR; La Grande, OR; Pendleton, OR; North Portland, OR; Confederated Tribes of Warm Springs Reservation, OR; ",Access World News,"June 27th, 2024",N/A,Newspaper,https://drive.google.com/file/d/1rNd4VrttuiYoEE3oVyYpQdB13WYCP8xe/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Herald and News,2023,"Klamath Tribes host day of awareness - Event remembers murdered, missing, Indigenous people","Klamath Falls, OR","Warm Springs, OR; Oregon; Klamath Falls, OR; Klamath County, OR; Chiloquin, OR",Access World News,"May 10th, 2023",N/A,Newspaper,https://drive.google.com/file/d/1DZFEIZjTIG3C-kGPgkQ3ZPmpD07R1FS0/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Farrell-Smith,Ka'ila,,Herald and News,2019,Why I refuse to hang my painting in Gov. Brown's office,"Klamath Falls, OR","Klamath County, OR; Salem, OR; Oregon; Washington D.C.; Portland, OR; Standing Rock, ND",Access World News,"September 24th, 2019",N/A,Newspaper,https://drive.google.com/file/d/1zQQxwOiDLMwz-MRwECftNG4D2KnDvyih/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
The Seattle Times,,,Herald and News,2019,Bringing attention to missing and murdered Indigenous women,"Klamath Falls, OR","Cheney, WA; Washington; Cowlitz Tribe, WA; Iowa; Washington D.C.",Access World News,"June 19th, 2019",N/A,Newspaper,https://drive.google.com/file/d/1ponsYB1BCKm_h57cd1yYhDOJbMVniqFB/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Dole,Bryce ,,"Hermiston HHerald, The",2022,Native women raise voices of resilience - Justice lags for Indigenous survivors of violence,"Hermiston, OR","Yakima Reservation, WA; Oklahoma; Confederated Tribes of Umatilla Indian Reservation, OR; Oregon; Blue Mountains, OR; Warm Springs Reservation, OR",Access World News,"July 20th, 2022",N/A,Newspaper,https://drive.google.com/file/d/1_x4zlf0v1IIi5NOB3cKgKw_GAQAOBLSH/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson,Teresa,,Madras Pioneer(2001-2025),2020,Missing & Murdered,"Madras, Jefferson County, Oregon","Yuba City, Sutter County, California
Montana
Yakima, Yakima County, Washington",Access World News,"February 5, 2020",N/A,Newspaper,https://drive.google.com/file/d/1qP_GaCFgWC40ojqOU3sxB-R7nZprpOBV/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
KING 5 Staff ,,,NBC - 8 KGW(2006-2025),2023,"Proposed Washington cold case unit would target missing, murdered Indigenous cases - The unit would help local and tribal law enforcement solve MMIWP cold cases and include investigators and family liaisons.","Portland, Multnomah County, Oregon",Washington,Access World News,"January 6, 2023 ",N/A,Newspaper,https://drive.google.com/file/d/1euXIfQncoAFF5DWl86593-4SsNtJlu5O/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
KING 5 Staff ,,,NBC - 8 KGW(2006-2025),2022,"Body found near Burke-Gilman Trail was that of missing Indigenous woman, family says - Mavis Nelson's body was found in the Kincaid Ravine in June.","Portland, Multnomah County, Oregon","Seattle, King County, Washington",Access World News,"August 3, 2022 ",N/A,Newspaper,https://drive.google.com/file/d/1euXIfQncoAFF5DWl86593-4SsNtJlu5O/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Randhawa,PJ ,,NBC - 8 KGW(2006-2025),2022,Come look for me': How Native families plan for their own abductions by forming safety systems - The latest figures from Washington State Patrol records show 126 Indigenous people in the state who aren't accounted for.,"Portland, Multnomah County, Oregon","Tulalip Reservation, Snohomish County, Washington
Tacoma, Pierce County, Washington
Parkland, Pierce County, Washington
Fife, Pierce County, Washington
Shelton, Mason County, Washington
Clallam Bay, Clallam County, Washington
Auburn, King County, Washington
Yakima, Yakima County, Washington
White Swan, Yakima County, Washington
Toppenish, Yakima County, Washington
Wapato, Yakima County, Washington
Spokane, Spokane County, Washington
Copalis Beach, Grays Harbor County, Washington
Colfax, Whitman County, Washington
Anacortes, Skagit County, Washington
Lyle, Klickitat County, Washington
Kent, King County, Washington
Seattle, King County, Washington
Nespelem, Okanogan County, Washington
Aberdeen, Grays Harbor County, Washington
La Conner, Skagit County, Washington
Renton, King County, Washington
Quinault Indian Reservation, Grays Harbor County, Washington
Neah Bay, Clallam County, Washington
Kelso, Cowlitz County, Washington
Port Orchard, Kitsap County, Washington
Federal Way, King County, Washington
Omak, Okanogan County, Washington
Taholah, Grays Harbor County, Washington


",Access World News,"May 5, 2022 ",N/A,Newspaper,https://drive.google.com/file/d/1euXIfQncoAFF5DWl86593-4SsNtJlu5O/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
"Henshaw
",Melanie,,"Observer, The(La Grande,OR)",2024,4-year-old Oregon report identifies missing Native American women as an ‘emergency’ — but progress has been limited,"La Grande, Union County, Oregon","La Grande, Union County, Oregon",Access World News,"June 17, 2024",N/A,Newspaper,https://drive.google.com/file/d/11OrcOJ4yXshHXgDLf38UUZAl_oH94smB/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Wright,Phil ,,"Observer, The(La Grande,OR)",2023,"Red Dress event honors, calls attention to missing and murdered indigenous people","La Grande, Union County, Oregon","Yakama Reservation, Yakima County, Washington",Access World News,"July 4, 2023 ",N/A,Newspaper,https://drive.google.com/file/d/11OrcOJ4yXshHXgDLf38UUZAl_oH94smB/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Dole,Bryce,Zack Demars,"Observer, The(La Grande,OR)",2022,Voices of resilience: Justice lags for Indigenous survivors of violence,"La Grande, Union County, Oregon","La Grande, Union County, Oregon",Access World News,"July 16, 2022 ",N/A,Newspaper,https://drive.google.com/file/d/1wIeldcK8cyuAVVEw3qvYIj2fSKWsqNrY/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Dole,Bryce,Zack Demars,"Oregon Capital Insider(Pendleton,OR)",2022,"Justice lags for Indigenous survivors of violence
","Pendleton, Umatilla County, Oregon","La Grande, Union County, Oregon",Access World News,"July 16, 2022 ",N/A,Newspaper,https://drive.google.com/file/d/1lRuHyuJientBh8I87A-mhtA32znBgu2_/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan,Susan Montoya,,"Oregonian, The(Portland,OR)",2023,Indigenous families honor missing relatives,"Portland, Multnomah County, Oregon","Northern Cheyenne Reservation, Rosebud County, Montana",Access World News,"May 7,2023",18,Newspaper-Image Edition,https://drive.google.com/file/d/1J0_h_vawkl1c23SclwK6jCCdtyhhpReH/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Dole,Bryce,Zack Demars,"Oregonian, The(Portland,OR)",2022,Oregon women raise voices of resilience,"Portland, Multnomah County, Oregon","Umatilla Indian Reservation, Umatilla County, Oregon",Access World News,"August 8, 2022",1,Newspaper-Image Edition,https://drive.google.com/file/d/1Ku2ad5m64dfRwyzXvFwj09EdTLqB0fE_/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Aadland,Chris,,"Oregonian, The(Portland,OR)",2022,"City’s work on missing, murdered Indigenous people expands from awareness to prevention","Portland, Multnomah County, Oregon","Warm Springs Reservation, Jefferson County, Oregon",Access World News,"May 3, 2022",4,Newspaper-Image Edition,https://drive.google.com/file/d/1RfILmtsuhgiMc9wZ1TSz3yQb67APb1zH/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Bull,Brian,,"Oregonian, The (2017-2025)",2021,"Efforts to address missing, killed Indigenous women falter","Portland, Multnomah County, Oregon","Warm Springs Reservation, Oregon
Yakama Indian Reservation, Washington",Access World News,"May 7, 2021",9,Newspaper-Image Edition,https://drive.google.com/file/d/1SSJxkMecZ4wjDaBCfS9eSc9FGn5bf-cD/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
